Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1986","1986","tonnes","33600","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1987","1987","tonnes","1915937","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1988","1988","tonnes","6592275","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1989","1989","tonnes","7301251","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1990","1990","tonnes","3691676","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1991","1991","tonnes","4372816","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1992","1992","tonnes","2982448","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1993","1993","tonnes","2685949","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1994","1994","tonnes","1913484","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1995","1995","tonnes","3701245","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1996","1996","tonnes","2214039","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1997","1997","tonnes","296126","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1998","1998","tonnes","315839","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","1999","1999","tonnes","258341","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2000","2000","tonnes","135305","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2001","2001","tonnes","135633","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2002","2002","tonnes","169349","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2003","2003","tonnes","235553","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2004","2004","tonnes","2939670","","Official data"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2005","2005","tonnes","432086","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2006","2006","tonnes","149498","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2007","2007","tonnes","20197","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2008","2008","tonnes","373","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2009","2009","tonnes","414085","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2010","2010","tonnes","201826","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","41","China mainland","5910","Export Quantity","15","Wheat","2011","2011","tonnes","478969","*","Unofficial figure"
